age,gender,course,study_hours,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score
23,female,b.tech,2.39,yes,6.8,good,online videos,high,hard,58.6
19,other,bba,3.84,yes,8.9,poor,group study,high,easy,51.8
22,male,b.sc,01.02,yes,8,average,mixed,low,moderate,60.9
21,other,b.com,5.59,yes,8.7,poor,self-study,low,moderate,88.1
21,male,bca,2.54,yes,6.1,poor,self-study,high,moderate,49.8
21,female,b.tech,01.08,yes,9.7,average,coaching,medium,moderate,37
22,female,bca,7.64,yes,5.6,average,self-study,medium,moderate,81
21,male,b.sc,6.16,yes,7.7,average,online videos,high,hard,59.1
22,female,bca,5.22,yes,7.2,average,coaching,medium,moderate,64.7
21,male,bca,5.78,yes,4.4,average,online videos,medium,moderate,75.8
17,female,b.tech,3.4,yes,8.9,poor,online videos,medium,easy,60.6
17,other,b.sc,2.39,yes,4.5,poor,coaching,high,hard,53.6
24,male,bca,4,yes,8.6,average,self-study,low,moderate,64.4
24,female,b.com,6.6,yes,6.7,good,online videos,low,hard,95.7
21,other,ba,7.71,yes,8.1,good,mixed,medium,moderate,91
18,male,b.tech,4.84,yes,6.3,poor,group study,medium,easy,70.6
23,male,bba,03.01,yes,8,average,mixed,medium,moderate,73.3
18,male,b.tech,5.75,yes,7.8,good,online videos,low,moderate,83.4
20,female,b.sc,5.58,yes,6.4,average,mixed,medium,hard,56.2
19,male,ba,1.98,yes,9.1,average,mixed,high,easy,57.3
17,other,bca,3.48,yes,9.7,poor,online videos,medium,moderate,52.2
23,male,ba,01.07,yes,9.7,poor,online videos,medium,easy,20.1
21,female,diploma,3.22,yes,8.8,good,online videos,medium,moderate,85.5
19,male,ba,6.1,yes,5.1,poor,self-study,medium,hard,59.4
21,male,b.sc,2.51,yes,9.8,poor,group study,high,easy,48.6
17,male,b.sc,05.06,no,7.5,poor,group study,medium,moderate,54.4
20,female,bca,2.62,yes,5.3,average,mixed,medium,easy,42.7
21,male,ba,1.18,yes,7.6,average,self-study,medium,moderate,38.6
19,male,bba,5.93,yes,7.6,good,self-study,medium,hard,76.9
23,female,b.com,4.71,yes,6.6,average,coaching,high,moderate,82.3
18,female,b.sc,6.6,yes,4.7,average,group study,medium,moderate,39.9
18,male,bba,5.43,yes,8,average,group study,high,moderate,66.6
21,female,b.com,6.54,no,5,poor,mixed,medium,easy,66.7
24,female,diploma,1.24,yes,5.6,average,self-study,low,hard,41.9
20,other,bca,4.92,yes,8.7,good,coaching,high,hard,78.8
17,female,bca,2.94,yes,8,poor,mixed,high,moderate,59.2
24,other,b.sc,5.97,yes,4.9,poor,online videos,low,moderate,48
20,male,b.tech,4.64,yes,7.4,average,coaching,medium,hard,71.4
18,male,b.tech,0.43,yes,5.6,poor,coaching,medium,hard,64.3
21,female,diploma,4.27,yes,8.3,average,online videos,low,moderate,65.4
19,male,diploma,5.95,yes,6.1,poor,self-study,low,moderate,55.5
24,other,bba,2.1,yes,5.2,good,mixed,low,easy,33.7
19,female,bba,5.24,yes,6,average,group study,high,easy,69.6
21,female,b.sc,6.73,yes,9.3,poor,mixed,high,moderate,79
21,female,bca,0.52,yes,4.3,poor,group study,low,easy,33.5
18,male,ba,4.62,yes,8.4,good,mixed,low,hard,81.6
20,female,bba,7.1,yes,9.6,average,self-study,low,easy,70.8
17,other,b.tech,01.01,yes,5.5,good,coaching,medium,moderate,58.3
22,female,ba,2.15,no,5,average,coaching,low,hard,69.1
23,female,bba,05.01,yes,9.6,poor,mixed,medium,moderate,85.6
24,female,bca,4.68,yes,6.4,average,online videos,high,easy,66.7
19,female,b.sc,6.35,yes,5.2,good,self-study,low,moderate,80.6
19,other,b.tech,05.03,yes,5.9,good,coaching,high,easy,60.9
21,other,bca,4.61,yes,7.1,good,self-study,medium,moderate,43.5
22,female,b.com,3.61,yes,6.5,good,mixed,medium,easy,53.5
24,other,ba,0.63,no,7.2,good,online videos,medium,easy,53.7
17,male,bba,4.73,yes,6.3,good,group study,high,hard,76.3
18,male,ba,1.25,no,7.2,poor,online videos,medium,easy,40.1
19,male,diploma,7.91,yes,9.4,average,group study,low,hard,78.9
19,other,bca,0.63,yes,8.9,average,online videos,medium,hard,46.4
20,female,b.com,0.61,no,7.6,poor,mixed,high,easy,40.8
23,female,b.sc,6.3,yes,6.5,good,group study,medium,hard,93.2
17,male,diploma,0.81,yes,9.1,average,online videos,low,moderate,56.1
23,female,bba,3.24,yes,6.1,poor,self-study,high,moderate,46.5
21,male,bca,7.42,yes,9.3,average,self-study,low,moderate,78.7
21,female,ba,6.3,no,5.1,poor,group study,medium,easy,53.5
22,female,ba,1.86,yes,5.6,poor,coaching,high,hard,53.9
17,other,b.sc,02.01,yes,7.6,poor,group study,medium,easy,51.2
22,other,ba,4.74,no,8.2,poor,self-study,medium,easy,71.8
18,male,ba,3.89,yes,9.5,good,online videos,low,easy,75.1
21,other,b.tech,0.93,no,6.5,average,online videos,high,moderate,36.2
22,female,bba,1.27,yes,6.5,poor,mixed,high,easy,64.6
21,female,bba,6.42,yes,4.4,good,coaching,medium,easy,76.8
19,female,bca,2.76,no,8.1,good,mixed,low,easy,71.5
20,male,b.tech,6.39,no,8.7,average,online videos,high,hard,72.8
20,male,b.sc,1.52,yes,4.1,poor,online videos,medium,moderate,30.4
17,female,ba,4.8,yes,7.8,poor,group study,high,moderate,69.9
22,other,diploma,04.04,yes,5.8,good,mixed,medium,moderate,69
17,female,b.sc,2.61,yes,8.5,average,self-study,low,moderate,61.3
20,female,diploma,4.87,yes,4.4,poor,coaching,high,hard,61
22,other,diploma,1,yes,6.9,good,self-study,high,easy,32.5
17,other,b.tech,6.85,yes,9.2,poor,group study,low,moderate,89.1
24,female,b.com,5.95,no,9.9,good,group study,low,hard,75.8
20,male,b.sc,2.3,yes,8.3,good,mixed,medium,easy,84.6
17,other,ba,4.64,yes,4.5,good,self-study,high,hard,67.2
22,other,diploma,7.22,yes,7.3,good,group study,low,moderate,87.4
21,other,b.com,3.38,yes,7.2,good,group study,high,moderate,66.9
22,other,bba,2.91,yes,6.9,good,self-study,low,moderate,60.3
23,female,b.tech,6.39,yes,6.8,average,group study,high,easy,68.1
20,male,ba,0.08,yes,4.1,poor,coaching,medium,easy,19.599
23,male,b.com,5.49,yes,8.1,average,online videos,medium,easy,78.6
19,other,diploma,1.73,no,7.6,average,coaching,high,hard,60.4
21,female,bca,5.55,yes,7.3,poor,group study,medium,moderate,52.2
18,female,b.sc,3.5,yes,8.3,poor,online videos,high,moderate,39.6
21,female,bba,0.16,no,7.3,good,mixed,low,moderate,48.9
19,other,b.com,6.99,no,6.6,average,self-study,low,moderate,62.7
22,female,ba,4.37,yes,6,average,group study,medium,moderate,41.5
23,male,ba,2.51,no,6.4,poor,self-study,medium,easy,42.9
23,other,bca,5.63,yes,7.1,good,group study,low,hard,68.2
24,female,b.com,3.97,no,6.2,good,coaching,low,easy,50.7
17,male,b.tech,0.28,yes,6.6,average,group study,low,easy,47.9
18,male,b.sc,5.2,yes,7.8,average,coaching,high,moderate,83
24,female,bca,7.76,yes,7.3,poor,online videos,high,hard,68.5
20,other,b.com,1.78,yes,6.6,poor,online videos,high,moderate,56.1
17,male,b.tech,6.9,yes,9.2,good,group study,medium,moderate,85.5
19,male,b.com,4.97,yes,6.1,average,online videos,high,easy,44.7
23,male,diploma,0.62,yes,5.6,good,group study,high,easy,33.6
19,male,diploma,5.84,yes,6,average,self-study,high,moderate,87.6
17,female,diploma,3.53,yes,7.7,good,online videos,high,moderate,66.9
22,male,bba,6.35,yes,4.1,average,group study,medium,easy,47.7
18,other,bca,05.09,yes,6.2,good,coaching,medium,easy,63.1
19,female,bca,0.08,yes,4.3,good,mixed,medium,moderate,35.3
17,female,b.tech,01.01,yes,8.7,poor,coaching,low,moderate,55.1
21,male,b.com,2.82,yes,6.2,good,online videos,high,moderate,48.6
20,male,ba,3.85,yes,5,good,mixed,medium,easy,66.9
23,female,ba,7.46,no,7,average,coaching,low,moderate,93.6
19,male,bca,6.58,yes,6.2,good,group study,low,moderate,62.4
18,female,diploma,6.41,no,9.6,good,mixed,low,easy,87.8
18,female,ba,4.32,yes,8,average,online videos,high,moderate,76.2
18,female,b.tech,0.74,no,6.9,good,online videos,medium,moderate,40.6
20,female,b.com,5.97,yes,9.8,poor,online videos,low,hard,64.7
17,other,b.sc,0.69,yes,8.4,poor,group study,high,moderate,19.6
20,other,ba,0.73,no,5.2,good,mixed,high,easy,48.5
23,male,b.sc,02.04,yes,6.8,good,mixed,medium,easy,62.3
23,female,b.tech,7.38,yes,7,good,group study,low,easy,78.3
22,other,b.sc,6,yes,9.5,poor,mixed,medium,hard,70
24,other,ba,0.61,yes,7.3,poor,group study,low,hard,19.599
23,male,b.tech,7.35,yes,8.1,average,online videos,medium,moderate,85.3
22,other,b.tech,6.27,yes,5,good,self-study,low,easy,69.3
23,other,b.sc,4.83,yes,6.4,good,online videos,medium,hard,82.3
17,female,bba,01.02,yes,5.1,average,self-study,low,hard,34.2
23,other,bba,2.56,yes,6.7,good,group study,medium,moderate,52.6
19,female,b.com,2.41,yes,9.2,good,group study,high,hard,51.3
22,other,bba,5.12,yes,9.1,good,coaching,high,moderate,80.1
24,other,b.sc,4.7,yes,4.9,poor,group study,low,hard,41.9
20,other,bca,2.22,yes,6.5,good,self-study,medium,easy,54.8
17,other,b.tech,2.49,yes,9.7,average,self-study,high,moderate,73.6
19,other,b.tech,4.15,yes,4.8,average,coaching,low,hard,53.1
20,female,diploma,6.76,yes,4.9,good,self-study,low,moderate,100
24,female,ba,01.01,no,4.6,good,self-study,medium,moderate,49.6
24,female,ba,5.81,yes,7.1,average,group study,low,easy,56.5
21,other,b.com,7.91,yes,9.9,average,self-study,medium,easy,82.6
24,female,bba,6,yes,9.3,average,group study,high,easy,66.7
20,male,bca,3.53,no,5.3,good,online videos,medium,easy,71.8
20,other,bca,5.85,yes,8.8,poor,self-study,low,moderate,47.3
23,other,b.sc,6.89,yes,4.2,average,coaching,medium,moderate,66.5
22,other,bba,6.15,yes,7.6,good,coaching,medium,easy,86.3
21,male,bca,0.1,yes,9.2,average,coaching,medium,moderate,35.2
20,other,b.com,01.05,yes,6.1,average,group study,medium,hard,49.9
22,other,b.com,0.86,yes,6.3,poor,online videos,high,easy,41.4
23,male,bba,0.25,yes,7.9,average,coaching,low,moderate,47.4
20,male,bba,5.72,yes,9.2,good,mixed,low,hard,76.6
17,male,b.sc,2.14,no,7.3,average,online videos,high,moderate,43.6
17,other,diploma,5.78,no,9.6,average,online videos,low,moderate,74.8
18,other,ba,5.33,no,7.5,average,group study,high,moderate,57.9
20,female,ba,4.19,no,6.1,average,self-study,medium,moderate,73.2
21,female,b.sc,0.48,no,9.1,poor,online videos,low,easy,49.1
23,female,bba,2.44,yes,8.9,poor,coaching,low,easy,53.6
18,other,diploma,0.22,yes,7.9,good,mixed,medium,moderate,67.7
23,male,bca,7.28,yes,4.8,good,coaching,medium,easy,96.9
22,male,ba,2.47,yes,4.1,good,mixed,high,easy,48.3
17,male,bba,0.76,yes,4.3,poor,self-study,high,hard,19.599
19,other,b.sc,0.08,yes,5.5,good,coaching,medium,moderate,30.6
19,female,b.tech,4.89,yes,5.4,poor,online videos,high,easy,67.1
24,other,bba,4.97,no,7.7,average,group study,high,moderate,81.6
24,other,b.sc,7.91,no,6.6,poor,self-study,medium,moderate,81.3
23,male,b.tech,2.31,no,4.2,good,group study,medium,easy,55.9
21,other,bca,0.37,yes,9.2,poor,coaching,high,moderate,37.8
20,male,ba,6.24,yes,7.6,poor,group study,low,easy,56.3
19,other,bca,2.44,yes,6.4,poor,mixed,high,easy,23.8
23,other,diploma,2.65,yes,6.3,average,group study,medium,easy,74.1
17,other,b.tech,7.26,yes,4.6,poor,online videos,low,easy,63.7
19,male,bca,4.6,yes,7.1,poor,coaching,low,easy,72.7
18,other,b.com,3.2,no,9.9,poor,self-study,medium,easy,41.1
20,other,bba,7.6,no,7.1,poor,group study,high,moderate,97.2
19,male,b.tech,2.12,yes,4.1,good,coaching,medium,moderate,34.7
18,female,ba,0.17,yes,7.7,poor,self-study,medium,easy,33.2
20,other,bba,1.85,no,4.1,good,mixed,medium,hard,47.2
23,female,ba,0.35,yes,9.5,average,self-study,low,hard,45.8
21,female,ba,3.26,yes,7.1,poor,mixed,low,moderate,59.7
23,male,b.tech,6.65,yes,8.1,poor,online videos,medium,hard,69.9
24,female,b.tech,7.8,yes,9.2,good,group study,low,easy,61.4
24,other,bba,5.6,no,8.7,average,coaching,high,moderate,80.1
19,female,b.com,7.41,no,7.3,good,online videos,low,hard,82.4
24,other,bba,3.27,yes,6.4,good,online videos,high,moderate,71.9
24,other,b.com,2.42,yes,9.5,average,mixed,medium,hard,44.5
24,other,b.tech,1.23,yes,4.1,poor,mixed,medium,moderate,39
19,female,bba,04.01,yes,6.4,average,mixed,low,easy,66
18,other,b.tech,2.62,yes,7,poor,online videos,low,moderate,44.2
21,male,bca,0.86,no,9.2,average,mixed,low,hard,56
24,female,b.tech,7.46,no,5,good,coaching,low,easy,78.2
24,male,diploma,0.99,yes,8.2,poor,self-study,low,moderate,37.9
21,other,b.sc,5.92,no,8,poor,self-study,low,hard,68.8
18,other,diploma,0.54,yes,9.8,good,self-study,low,hard,57.9
20,female,b.tech,4.22,yes,9.2,poor,self-study,low,hard,55.9
22,female,ba,5.4,yes,6.9,poor,mixed,high,easy,83.7
21,female,b.com,1.88,yes,4.6,poor,coaching,low,hard,29.8
19,other,b.sc,0.61,yes,9,poor,self-study,medium,easy,38.4
19,male,ba,4.75,yes,5.5,good,self-study,low,moderate,71.1
17,other,b.sc,4.82,yes,8.5,average,self-study,high,hard,61.7
19,male,ba,2.5,yes,7.4,average,online videos,low,moderate,47.8
22,male,b.com,03.01,yes,4.3,good,group study,high,hard,63.9
18,other,b.sc,0.36,yes,4.1,good,coaching,low,easy,37.7
24,other,bca,2.37,yes,4.8,poor,group study,high,moderate,55.1
17,female,ba,07.06,yes,5.6,poor,group study,high,moderate,82.8
21,female,bca,1.37,yes,5.6,average,mixed,high,hard,54
20,other,bca,3.74,yes,5.3,poor,online videos,high,moderate,66.2
23,other,b.sc,5.41,yes,9.2,average,coaching,low,moderate,80.2
24,other,b.com,6.42,yes,7.2,average,online videos,medium,easy,52.8
21,other,diploma,0.65,yes,4.7,good,mixed,low,moderate,37.4
22,female,b.com,4.73,yes,4.6,good,group study,medium,hard,62.9
22,male,b.tech,05.02,yes,7.5,average,group study,high,moderate,55.2
21,male,ba,1.58,no,8,average,group study,low,moderate,19.599
18,female,diploma,0.25,yes,8.3,poor,online videos,low,moderate,19.599
20,female,b.sc,6.75,yes,7.9,poor,group study,low,moderate,88.8
18,other,bba,3.52,yes,7.8,good,online videos,high,moderate,71.1
20,male,b.com,0.49,no,8.7,good,self-study,medium,moderate,44.9
21,other,b.com,4.62,no,4.5,good,mixed,low,moderate,72.8
18,other,ba,03.02,no,7.9,good,mixed,low,moderate,75.4
18,other,b.sc,0.64,yes,5.1,good,self-study,medium,moderate,47.7
23,female,b.com,2.3,yes,5.2,average,group study,low,moderate,40.7
20,male,b.sc,2.61,yes,8.6,average,self-study,high,hard,47.6
18,female,bca,4.6,yes,9.9,good,group study,high,moderate,85.9
22,female,b.sc,3.23,yes,5.9,average,coaching,medium,easy,59.5
22,female,bca,0.86,yes,7.1,good,self-study,low,hard,45.1
23,female,b.tech,05.08,yes,8.2,average,mixed,high,moderate,86
23,female,b.com,5.83,yes,9.7,average,online videos,medium,moderate,74.9
24,female,b.sc,04.06,yes,7.9,good,self-study,low,moderate,78.5
21,male,ba,0.51,yes,8.2,poor,coaching,medium,moderate,37.7
19,female,bca,0.83,yes,5.7,good,self-study,high,moderate,52.3
23,male,diploma,7.56,no,6.2,good,self-study,high,hard,89
19,female,bca,1.51,yes,9.4,poor,self-study,low,moderate,20.4
19,female,ba,2.46,yes,4.3,good,group study,medium,moderate,35.9
23,other,ba,5.5,yes,7.3,poor,self-study,high,hard,70.5
24,other,diploma,6.33,yes,4.8,poor,group study,high,moderate,65.7
19,female,diploma,7.29,yes,4.3,poor,online videos,low,easy,64.9
22,male,bca,3.16,no,4.9,poor,self-study,medium,moderate,40.1
24,other,b.sc,7.91,yes,6.8,poor,coaching,medium,moderate,93.3
23,male,b.sc,0.83,yes,7.7,average,coaching,high,moderate,66.5
17,male,b.sc,6.61,yes,5,good,self-study,high,moderate,66.1
22,male,b.sc,2.18,yes,7.1,average,mixed,medium,moderate,44.3
18,other,diploma,7.5,yes,9.8,average,coaching,medium,moderate,90.4
23,female,b.sc,6.95,yes,7.2,average,self-study,medium,hard,85.2
17,male,bca,6.1,yes,4.4,poor,group study,medium,moderate,66.4
24,male,bca,4.83,yes,5.5,good,self-study,high,moderate,100
18,female,ba,1.72,yes,4.2,poor,group study,low,easy,38.5
20,other,b.com,3.7,yes,7.5,good,group study,low,moderate,55.8
18,female,b.sc,0.28,yes,9.3,poor,online videos,low,easy,29.2
23,male,bba,5.68,yes,8.7,good,coaching,low,moderate,79.7
20,female,bba,0.93,yes,4.3,good,online videos,low,easy,49.7
22,female,ba,02.07,no,8.7,poor,self-study,low,easy,38.7
17,male,ba,1.96,yes,7.1,average,self-study,medium,moderate,56.7
20,male,bca,6.3,yes,9.1,poor,coaching,low,easy,78.9
24,male,bca,3.21,yes,6.4,average,mixed,low,easy,42.9
24,female,bca,4.28,yes,6.4,poor,group study,low,easy,60.8
18,male,b.sc,1.67,yes,9.9,average,group study,high,moderate,66.5
20,male,b.tech,2.67,yes,6.1,good,mixed,low,easy,52.3
20,male,ba,4.1,yes,5.2,poor,mixed,medium,moderate,76.5
21,other,b.com,1.55,yes,9.8,good,self-study,high,easy,54.9
21,female,b.com,5.52,yes,9.4,poor,self-study,medium,moderate,76.9
17,other,ba,3.59,yes,4.7,average,mixed,high,moderate,46.9
23,female,diploma,7.87,yes,5.3,average,coaching,high,moderate,74.9
18,male,bca,1.97,yes,9.1,average,online videos,medium,moderate,46.4
19,male,bba,3.17,yes,5.3,poor,group study,high,moderate,61.1
23,other,bba,7.4,yes,5.9,average,self-study,high,easy,82.7
22,female,b.com,07.09,yes,6.1,good,group study,medium,hard,96
20,male,ba,3.87,yes,6,poor,coaching,high,moderate,60.6
24,female,ba,0.99,no,5.4,average,coaching,high,moderate,64.7
20,female,bca,3.27,yes,5.1,average,mixed,medium,easy,53.3
21,male,diploma,4.7,yes,6.2,average,group study,low,easy,68.8
18,other,ba,02.03,yes,7.1,good,group study,low,easy,42.4
18,male,bca,1.53,yes,4.1,poor,group study,high,moderate,57.9
20,male,b.tech,4.25,no,4.2,average,coaching,medium,easy,73.4
21,other,b.com,1.41,yes,7.3,good,coaching,medium,easy,57.1
23,female,diploma,7,yes,5.1,poor,mixed,medium,hard,68.4
20,male,bba,0.59,yes,5,average,mixed,low,moderate,32.9
24,male,ba,7.9,yes,4.4,average,self-study,high,moderate,70.3
21,female,b.sc,4.3,yes,8.8,good,coaching,medium,moderate,54
17,other,bca,7.87,yes,5.7,poor,online videos,low,moderate,92.9
22,male,diploma,06.01,yes,7,poor,mixed,low,hard,76.4
21,female,b.com,1.22,no,7.1,poor,self-study,high,moderate,55.1
20,female,bca,1.82,yes,5.5,average,mixed,medium,easy,50.9
20,other,bba,0.86,yes,8.9,average,self-study,low,moderate,22.7
19,other,b.com,5.83,yes,9.8,average,coaching,high,easy,89.5
21,male,b.com,1.35,yes,6.6,average,online videos,low,hard,62.8
21,female,ba,5.72,yes,9.9,average,mixed,medium,moderate,63
20,other,b.com,6.88,yes,5.2,poor,online videos,medium,easy,62.1
19,female,bba,3.29,no,8.6,average,group study,high,moderate,64.2
20,male,b.sc,5.29,yes,7.1,average,mixed,low,moderate,56.5
20,male,ba,7.16,yes,7.3,good,group study,high,moderate,100
20,female,bca,06.03,no,9.5,good,mixed,low,moderate,87.3
19,other,bca,01.05,yes,9.7,poor,coaching,high,moderate,56.6
21,male,b.sc,2.34,yes,4.1,good,self-study,medium,easy,64.6
18,male,bba,4.29,no,5.4,average,coaching,medium,easy,57
21,male,b.com,2.11,yes,5.8,poor,group study,high,hard,61.1
17,female,bca,04.05,yes,6.8,poor,group study,high,moderate,46.7
20,male,b.com,7.62,no,7.6,good,self-study,low,easy,85.4
23,male,bba,3.63,yes,9.1,average,coaching,high,moderate,89.9
23,female,ba,02.09,yes,9.9,good,coaching,low,easy,59.3
22,other,b.sc,1.17,no,6.8,average,group study,medium,hard,22.3
22,male,bba,7.21,yes,5.9,average,group study,low,hard,74.8
17,female,bba,1.84,no,8.6,good,group study,high,moderate,57.4
19,female,bba,1.55,yes,8.2,good,self-study,low,easy,57.7
22,other,bca,4.41,yes,4.7,poor,online videos,high,moderate,47
23,other,bba,3.69,no,7.9,poor,group study,high,easy,63.5
21,other,bca,03.09,yes,9,average,coaching,low,moderate,68.2
23,male,b.com,4.63,yes,4.4,good,online videos,high,moderate,72.1
19,other,ba,4.56,yes,7.3,poor,mixed,low,moderate,63.7
18,male,ba,0.55,no,4.1,good,group study,high,moderate,51.1
17,other,bba,3.32,yes,5.7,poor,self-study,high,moderate,75.1
21,male,b.tech,5.77,yes,4.3,average,group study,high,moderate,91.7
22,male,bca,03.05,yes,9.8,average,coaching,high,easy,73.9
19,male,ba,7.91,no,7.6,poor,self-study,high,moderate,83.9
23,male,ba,1.88,yes,9.9,average,group study,high,moderate,68.6
22,female,diploma,3.97,yes,9.3,average,group study,high,moderate,53.1
19,female,ba,5.39,yes,6.4,poor,coaching,medium,moderate,98.1
18,other,ba,4.38,yes,7.1,poor,coaching,low,moderate,59.3
22,male,ba,0.31,yes,8.3,average,online videos,low,easy,49.7
22,male,diploma,4.11,yes,5.3,average,coaching,high,moderate,71.1
18,male,b.sc,7.73,yes,4.4,average,coaching,high,easy,79.6
19,male,b.sc,3.25,no,9.1,good,group study,medium,moderate,76
20,other,b.tech,0.93,yes,7.7,good,group study,high,easy,36.9
21,female,bca,0.17,yes,9.6,average,mixed,low,moderate,48.9
18,male,b.tech,3.3,yes,8.2,poor,coaching,low,moderate,77.1
24,male,bba,1.48,no,5.7,poor,mixed,high,hard,48.9
20,other,diploma,6.68,yes,5.6,poor,self-study,high,moderate,62.4
20,female,bba,7.62,yes,6,average,online videos,medium,hard,69.3
17,male,b.sc,7.52,yes,5.1,good,group study,high,moderate,72.5
24,other,bba,3,yes,6.9,average,self-study,low,hard,52.9
18,male,ba,3.64,yes,5.6,average,online videos,low,easy,58
24,male,b.tech,2.52,no,9.2,average,coaching,high,moderate,58.7
20,other,b.sc,01.03,yes,8.7,poor,coaching,low,moderate,42.1
23,female,bca,4.47,yes,5.3,average,self-study,low,moderate,63
18,male,ba,1.49,yes,7.1,good,mixed,medium,moderate,59.5
18,other,ba,0.48,yes,9.4,good,online videos,high,easy,39.4
23,male,bca,6.8,yes,4.7,poor,coaching,medium,moderate,72.2
23,other,ba,6.39,yes,8.8,poor,self-study,medium,hard,57.3
21,female,diploma,7.41,yes,5.5,good,group study,high,easy,100
17,other,b.tech,2.62,yes,6.1,average,self-study,medium,moderate,55.4
24,other,b.com,6.97,yes,7.3,good,online videos,low,moderate,93.9
20,other,b.sc,3.19,yes,8.9,average,self-study,low,moderate,37.9
24,other,b.com,0.58,yes,5.2,poor,coaching,medium,moderate,22.1
23,female,diploma,3.66,no,9.6,poor,coaching,high,moderate,60.9
23,male,b.com,4.43,yes,6.8,good,mixed,low,moderate,63.6
22,female,b.com,3.46,yes,5.9,poor,self-study,high,hard,49.4
22,female,b.tech,6.28,yes,5.3,average,mixed,medium,easy,66.2
21,other,b.com,2.81,no,5.9,good,online videos,low,hard,54.9
17,male,b.sc,7.37,yes,5.9,average,coaching,medium,moderate,98.7
20,other,b.sc,0.59,yes,8.9,good,self-study,medium,easy,55.8
22,female,b.tech,5.76,yes,6.5,average,self-study,low,moderate,74.4
23,other,bba,7.43,yes,5.9,average,group study,high,easy,100
21,female,bba,4.43,yes,4.9,average,mixed,medium,easy,68.8
22,female,bca,07.03,no,7.8,good,mixed,medium,moderate,99
17,male,b.tech,5.53,yes,6.3,poor,coaching,medium,easy,88.7
20,other,diploma,0.12,no,8.9,poor,group study,low,moderate,40.4
21,male,ba,5.37,yes,4.9,average,mixed,low,moderate,60.2
24,male,ba,5.25,no,7.5,poor,coaching,high,moderate,68.2
19,female,diploma,0.08,yes,4.4,poor,self-study,high,easy,59.2
18,male,b.sc,3.27,no,4.8,good,coaching,low,hard,85.5
19,other,ba,0.31,no,9.9,poor,online videos,medium,moderate,38.2
18,female,b.tech,2.34,yes,8.2,poor,coaching,high,moderate,67.3
21,male,ba,7.89,yes,7.1,good,mixed,medium,hard,88.7
22,male,b.sc,7.52,yes,4.6,average,group study,low,hard,85.2
23,male,b.sc,5.48,yes,4.1,average,coaching,medium,moderate,69.3
24,female,bba,2.93,no,5.6,poor,self-study,low,moderate,29
17,female,b.tech,3.17,yes,6.9,poor,self-study,high,easy,40.7
18,male,diploma,0.31,yes,4.5,average,mixed,medium,moderate,42.6
19,other,b.sc,2.71,yes,6.1,average,mixed,high,easy,55.2
18,female,b.tech,6.28,yes,5.6,good,mixed,high,hard,84.7
23,female,ba,4.15,yes,9.5,average,online videos,medium,moderate,79.7
18,female,b.com,3.81,yes,7.7,average,mixed,high,moderate,63.3
17,female,bba,0.73,yes,7.3,good,self-study,medium,hard,45.8
23,male,bba,7.35,yes,6.9,poor,self-study,low,moderate,72.1
24,other,bba,2.26,yes,4.9,average,group study,low,easy,48.6
18,male,bba,03.06,yes,6.3,average,group study,low,moderate,63.3
19,male,bca,2.65,yes,7.7,poor,coaching,low,easy,47
21,female,bba,2.63,yes,9.1,good,online videos,low,hard,67.2
21,other,b.tech,4.79,yes,9.7,poor,group study,high,moderate,63.2
24,other,ba,05.02,yes,8,poor,self-study,high,moderate,58.8
20,male,bba,4.79,yes,8.5,good,coaching,high,moderate,82.4
17,female,b.sc,0.55,yes,7.1,good,mixed,medium,moderate,66.6
20,female,diploma,7.76,no,5.2,average,mixed,medium,moderate,69
21,male,ba,5.71,yes,8.1,average,mixed,high,easy,86.4
21,other,b.com,07.06,yes,8.4,poor,online videos,low,hard,87.5
21,male,b.com,1.28,yes,5.4,poor,self-study,medium,moderate,20.5
24,male,bba,7.46,yes,9.4,poor,self-study,low,moderate,55.4
23,male,bba,5.77,yes,7.1,good,online videos,low,moderate,89.4
19,other,b.sc,04.01,yes,8.1,average,group study,high,easy,74.2
19,male,b.sc,0.19,yes,7.1,poor,group study,low,easy,32.3
22,other,b.tech,02.03,yes,7.5,poor,coaching,medium,moderate,48
20,other,ba,6.71,yes,8.4,good,online videos,high,moderate,88.7
20,male,diploma,03.03,yes,5.4,poor,mixed,high,moderate,58.1
18,male,diploma,5.43,yes,8.7,poor,online videos,high,moderate,68.8
19,other,ba,5.85,yes,6,poor,coaching,medium,easy,80.7
22,male,ba,6.21,yes,7.3,good,group study,low,moderate,68.3
23,female,ba,03.06,yes,7.6,average,online videos,high,easy,51.5
23,other,b.sc,7.28,yes,9.6,poor,online videos,low,easy,72.9
19,male,b.com,2.34,yes,5.1,poor,coaching,high,moderate,50.9
18,female,diploma,6.69,no,6.5,good,group study,high,moderate,75.7
18,female,bba,3.4,yes,4.6,average,mixed,medium,hard,74.6
20,female,b.sc,1.87,yes,6.6,good,coaching,low,easy,54.2
21,other,b.tech,2.75,yes,8.4,poor,mixed,high,easy,53.9
24,female,bca,6.4,yes,5.9,poor,group study,high,hard,75.4
24,male,diploma,4.92,yes,7.8,good,coaching,medium,moderate,67.3
17,other,b.tech,01.09,yes,8.4,good,self-study,low,easy,34.8
22,female,b.com,0.99,yes,7.3,poor,mixed,low,hard,62
19,male,bca,5.5,yes,9,good,coaching,medium,easy,73
